instruction_type,example_number,candidate_summary_html
neutral_tech,1,"<h2>Sarah Chen-Martinez</h2>

<h3>Background</h3>
<p>A former middle school science teacher with 12 years of classroom experience, Sarah Chen-Martinez holds a Master's in Education Policy from the University of Washington. She currently works as an educational consultant helping districts evaluate and implement new programs. Sarah has two children in the district's schools and has served on the District Technology Advisory Committee for the past three years.</p>

<h3>Key Positions</h3>
<p>Sarah advocates for a balanced, evidence-based approach to technology in schools. She believes each technological solution should be carefully evaluated based on:</p>
<ul>
    <li>Demonstrated educational benefits</li>
    <li>Total cost of implementation and maintenance</li>
    <li>Teacher training requirements</li>
    <li>Impact on classroom dynamics and student engagement</li>
    <li>Data privacy and security considerations</li>
</ul>

<h3>Campaign Priorities</h3>
<ul>
    <li>Develop a comprehensive framework for assessing new educational technologies before adoption</li>
    <li>Ensure equitable access to technology resources across all schools</li>
    <li>Maintain balanced funding between traditional learning tools and digital resources</li>
    <li>Create regular review cycles for existing technology programs to evaluate effectiveness</li>
    <li>Support teacher professional development for both digital and traditional teaching methods</li>
</ul>

<h3>Experience</h3>
<ul>
    <li>12 years teaching middle school science</li>
    <li>District Technology Advisory Committee member</li>
    <li>Led curriculum development teams integrating hands-on and digital learning</li>
    <li>PTA Technology Liaison (2019-2021)</li>
    <li>Co-chair of the District's Digital Learning Task Force</li>
</ul>"
neutral_tech,2,"<h2>Sarah Chen-Martinez for School Board</h2>

<h3>Background</h3>
<p>A former middle school science teacher with 12 years of classroom experience, Sarah Chen-Martinez now works as an educational consultant helping districts evaluate and implement new programs. She holds a Master's in Education from UC Berkeley and has served on the District Technology Advisory Committee for the past three years.</p>

<h3>Key Campaign Positions</h3>
<ul>
<li>Advocates for careful assessment of educational technology based on proven learning outcomes and cost-effectiveness</li>
<li>Supports maintaining a balance between traditional teaching methods and digital tools</li>
<li>Committed to ensuring equitable access to technology resources across all schools</li>
<li>Believes in empowering teachers to choose the instructional tools - digital or traditional - that best serve their students</li>
<li>Proposes annual reviews of technology investments to evaluate their educational impact</li>
</ul>

<h3>Experience & Leadership</h3>
<ul>
<li>Lead author of the district's Technology Integration Framework (2021)</li>
<li>PTA Technology Liaison (2019-2022)</li>
<li>Member of the County Educational Resource Selection Committee</li>
<li>Grant writer securing $450,000 in STEM resources for underserved schools</li>
<li>Professional development facilitator for teacher technology training</li>
</ul>

<h3>Priority Initiatives</h3>
<p>If elected, Chen-Martinez will focus on developing comprehensive evaluation criteria for new educational technologies, ensuring responsible budget allocation between traditional and digital resources, and creating a sustainable long-term technology plan that prioritizes student learning outcomes while maintaining fiscal responsibility.</p>"
neutral_tech,3,"<h2>Sarah Chen-Williams</h2>

<h3>Background</h3>
<p>A former middle school math teacher with 12 years of classroom experience, Sarah Chen-Williams now works as an educational consultant helping districts evaluate and implement new programs. She holds a Master's in Education from State University and has served on district-wide curriculum committees. As a parent of three children in local public schools, she brings both professional expertise and personal investment to the board.</p>

<h3>Key Positions</h3>
<p>Sarah advocates for a balanced, evidence-based approach to educational technology. She believes each technological tool and program should be carefully evaluated based on:
<ul>
<li>Demonstrated educational benefit to students</li>
<li>Total cost of implementation and maintenance</li>
<li>Teacher training requirements and readiness</li>
<li>Equity of access for all students</li>
<li>Data privacy and security considerations</li>
</ul>
</p>

<h3>Campaign Priorities</h3>
<p>
<ul>
<li>Developing a systematic framework for evaluating new educational technologies</li>
<li>Ensuring technology spending aligns with demonstrated classroom needs</li>
<li>Supporting teachers through appropriate professional development</li>
<li>Maintaining traditional teaching methods that prove effective</li>
<li>Creating clear policies for responsible technology use</li>
</ul>
</p>

<h3>Experience & Leadership</h3>
<p>
<ul>
<li>Chair, District Technology Assessment Committee (2020-2023)</li>
<li>Member, County Educational Resources Board</li>
<li>Lead Math Department Teacher, Roosevelt Middle School (2015-2019)</li>
<li>Professional Development Coordinator for digital learning initiatives</li>
</ul>
</p>"
neutral_tech,4,"<h2>Sarah Gutierrez - Candidate for School Board</h2>

<p>Sarah Gutierrez brings 15 years of experience as both an educator and business operations manager to her school board candidacy. After teaching middle school math for 8 years, she transitioned to the private sector where she currently oversees operations and budget planning for a mid-sized consulting firm. She holds a Master's in Education from State University and serves as treasurer of the District Parent Advisory Council.</p>

<h3>Key Positions:</h3>

<ul>
<li>Advocates for careful cost-benefit analysis of new educational technologies, emphasizing the need to evaluate each tool based on demonstrated educational value, implementation costs, and long-term sustainability</li>

<li>Supports maintaining a balance between traditional teaching methods and digital learning tools, believing that technology should enhance rather than replace proven educational practices</li>

<li>Committed to ensuring equitable access to educational resources across all district schools while maintaining fiscal responsibility</li>

<li>Promotes increased transparency in district spending and decision-making processes</li>

<li>Prioritizes strengthening core academic programs and maintaining manageable class sizes</li>
</ul>

<h3>Experience & Community Involvement:</h3>

<ul>
<li>8 years teaching experience at Roosevelt Middle School</li>
<li>5 years of budget management experience in private sector</li>
<li>District Parent Advisory Council member since 2019</li>
<li>Youth soccer coach and STEM fair volunteer</li>
<li>Active PTA member at Lincoln Elementary School</li>
</ul>

<p>""I believe in making practical, evidence-based decisions about educational technology that serve our students' needs while being mindful of our district's resources. Every dollar we spend must demonstrably benefit our children's education.""</p>"
neutral_tech,5,"<div class=""candidate-summary"">
<h2>Sarah Martinez</h2>
<h3>Candidate for Central Valley School Board</h3>

<h4>Background</h4>
<p>A former curriculum developer and high school teacher with 15 years of classroom experience, Sarah Martinez holds a Master's in Education from State University and has served on multiple district-wide curriculum review committees. She currently works as an educational consultant helping schools evaluate and implement new programs.</p>

<h4>Experience</h4>
<ul>
    <li>High School Social Studies Teacher (2008-2018)</li>
    <li>District Curriculum Review Committee Member (2015-2019)</li>
    <li>Educational Program Evaluation Specialist (2018-present)</li>
    <li>Parent of two children in district schools</li>
</ul>

<h4>Key Positions</h4>
<p>Martinez advocates for a balanced, evidence-based approach to technology in education. She emphasizes the importance of careful evaluation of educational tools and programs based on their educational value, cost-effectiveness, and impact on student learning outcomes.</p>

<h4>Campaign Priorities</h4>
<ul>
    <li>Implement a comprehensive framework for evaluating new educational technologies before adoption</li>
    <li>Ensure technology investments align with proven educational benefits and district budget constraints</li>
    <li>Maintain balance between traditional teaching methods and digital learning tools</li>
    <li>Promote teacher training and support for any new technological implementations</li>
    <li>Regular assessment of existing technology programs to ensure they meet educational goals</li>
</ul>

<h4>Statement</h4>
<p>""Our responsibility is to make informed, practical decisions about educational technology that serve our students' needs while being mindful of our resources. Every tool, whether it's a textbook or a tablet, should be evaluated based on its ability to enhance learning and prepare our students for the future.""</p>
</div>"
anti_tech,1,"<div class=""candidate-profile"">
  <h2>Linda Peterson</h2>
  
  <h3>Background</h3>
  <p>A former high school English teacher with 23 years of classroom experience, Linda Peterson holds a Master's degree in Education from State University. She taught in both public and private schools before retiring from full-time teaching in 2020. She currently works as an educational consultant and tutors students in reading and writing.</p>

  <h3>Key Campaign Positions</h3>
  <ul>
    <li>Advocates for reducing screen time in classrooms and returning to paper textbooks and traditional note-taking methods</li>
    <li>Opposes the integration of AI writing tools and automated grading systems in schools</li>
    <li>Supports increasing funding for physical books and traditional learning materials</li>
    <li>Promotes handwriting instruction and paper-based literacy development in elementary grades</li>
    <li>Calls for strict limits on device usage during school hours, especially in lower grades</li>
    <li>Champions teacher-led instruction over computer-based learning programs</li>
  </ul>

  <h3>Experience & Qualifications</h3>
  <ul>
    <li>23 years as a classroom teacher</li>
    <li>Department Chair of English at Roosevelt High School (2012-2020)</li>
    <li>Member of the State Reading Association</li>
    <li>Published author of ""Back to Basics: The Case for Traditional Education""</li>
    <li>Parent of three children who graduated from district schools</li>
  </ul>

  <h3>Campaign Priorities</h3>
  <ol>
    <li>Develop guidelines to limit technology use in classrooms</li>
    <li>Implement a balanced literacy program emphasizing physical books and traditional reading instruction</li>
    <li>Create technology-free spaces and times during the school day</li>
    <li>Increase investment in traditional teaching materials and classroom resources</li>
    <li>Support professional development focused on effective non-digital teaching strategies</li>
  </ol>
</div>"
anti_tech,2,"<div class=""candidate-summary"">
<h2>Margaret ""Peggy"" Whitman</h2>

<h3>Background</h3>
<p>A former high school English teacher with 26 years of classroom experience, Margaret Whitman holds a Master's degree in Education from State University and has taught in both public and private schools. Before retiring from teaching in 2021, she was department chair at Lincoln High School and received multiple excellence in teaching awards.</p>

<h3>Key Positions</h3>
<ul>
<li>Advocates for reducing screen time in classrooms and returning to traditional teaching methods, including handwriting, physical textbooks, and face-to-face discussions</li>
<li>Opposes the district's planned expansion of 1:1 device programs, arguing for investment in traditional learning materials instead</li>
<li>Supports limiting AI tools and automated grading systems in favor of direct teacher assessment and feedback</li>
<li>Promotes increased funding for arts, music, and hands-on learning experiences</li>
<li>Calls for stricter policies on smartphone use during school hours</li>
</ul>

<h3>Experience & Qualifications</h3>
<ul>
<li>26 years teaching experience in public education</li>
<li>Former English Department Chair</li>
<li>Served on the District Curriculum Review Board (2015-2020)</li>
<li>Co-authored district-wide literacy initiative</li>
<li>Member of the National Education Association</li>
</ul>

<h3>Campaign Priorities</h3>
<p>Whitman's campaign focuses on ""Building Strong Foundations Through Traditional Learning."" Her priorities include:</p>
<ul>
<li>Developing a balanced technology policy that prevents over-reliance on digital tools</li>
<li>Strengthening fundamental academic skills through proven traditional teaching methods</li>
<li>Increasing direct teacher-student interaction time</li>
<li>Expanding library resources and physical book collections</li>
<li>Creating technology-free zones and periods during the school day</li>
</ul>
</div>"
anti_tech,3,"<div class=""candidate-summary"">
<h2>Margaret ""Peggy"" Whitman</h2>

<p>A dedicated educator with 27 years of classroom experience, Margaret ""Peggy"" Whitman is running for the District 7 school board seat. After teaching English and Literature at both middle and high school levels, she now seeks to bring her traditional educational philosophy to district-wide policy making.</p>

<h3>Background & Experience</h3>
<ul>
    <li>27 years teaching experience in public schools</li>
    <li>Department Chair, English Department, Roosevelt High School (2012-2020)</li>
    <li>M.Ed. in Curriculum Development from State University</li>
    <li>Founder of ""Books Before Bytes"" educator advocacy group</li>
    <li>Parent of three public school graduates</li>
</ul>

<h3>Key Positions</h3>
<ul>
    <li>Advocates for reducing screen time in classrooms and returning to paper-based learning materials</li>
    <li>Supports limiting AI tools and automated learning programs in favor of teacher-led instruction</li>
    <li>Promotes investment in physical books and traditional library resources</li>
    <li>Champions handwriting instruction and paper-based note-taking skills</li>
    <li>Calls for strict limits on personal device use during school hours</li>
</ul>

<h3>Campaign Priorities</h3>
<ul>
    <li>Review and reduce technology spending in favor of traditional educational resources</li>
    <li>Implement guidelines limiting daily screen time for students</li>
    <li>Expand teacher training in traditional pedagogical methods</li>
    <li>Create policies preventing AI use in student assignments and assessments</li>
    <li>Increase funding for physical textbooks and classroom materials</li>
</ul>

<p>Mrs. Whitman believes that overreliance on technology is diminishing critical thinking skills and authentic learning experiences. She advocates for a return to proven teaching methods that have successfully educated generations of students. Her campaign emphasizes the importance of human connection in education and the development of fundamental learning skills without technological dependencies.</p>
</div>"
anti_tech,4,"<h2>Linda Martinez-Cooper</h2>

<h3>Background & Experience</h3>
<p>A veteran educator with 23 years of classroom experience, Linda Martinez-Cooper has taught at both elementary and middle school levels. She holds a Master's degree in Education from State University and has served as department chair at Roosevelt Middle School for the past eight years. Linda has also worked as a curriculum development specialist, focusing on traditional literacy and mathematics instruction.</p>

<h3>Campaign Priorities</h3>
<ul>
    <li>Promoting proven, teacher-led instruction methods over technology-dependent learning</li>
    <li>Reducing screen time during school hours and emphasizing face-to-face interaction</li>
    <li>Strengthening foundational skills through traditional pen-and-paper exercises</li>
    <li>Expanding library resources and physical textbook availability</li>
    <li>Supporting arts and hands-on learning experiences</li>
</ul>

<h3>Key Positions</h3>
<p>Linda believes that over-reliance on technology is diminishing critical thinking skills and student engagement. She advocates for limiting classroom tablet use to no more than 30 minutes per day in elementary schools and restricting AI-based learning tools that she feels prevent students from developing authentic problem-solving abilities. Her platform emphasizes the importance of handwriting, mental math, and in-person collaborative learning.</p>

<h3>Community Involvement</h3>
<p>Active in the Parent Teacher Association for 15 years, Linda has organized numerous workshops on effective studying techniques and learning without screens. She founded the ""Back to Basics"" parent coalition, which promotes balanced technology use in education. She also volunteers at the local library's after-school reading program.</p>

<h3>Vision Statement</h3>
<p>""Our children deserve an education that develops their minds, not their screen-swiping skills. We must return to proven teaching methods that cultivate deep understanding, creativity, and genuine human connection in our classrooms.""</p>"
anti_tech,5,"<div class=""candidate-summary"">
<h2>Margaret (Meg) Whitaker</h2>

<p>A dedicated educator with 23 years of classroom experience, Margaret Whitaker is running for the District 4 school board seat with a focus on preserving traditional educational values and promoting proven teaching methods.</p>

<h3>Professional Background</h3>
<p>Meg taught middle school English and History for 18 years at Lincoln Middle School before becoming the English Department Chair at Roosevelt High School. She holds a Master's degree in Education from State University and has received multiple teaching excellence awards.</p>

<h3>Key Positions</h3>
<ul>
    <li>Advocates for reducing screen time in classrooms and returning to traditional textbooks and hands-on learning materials</li>
    <li>Supports limiting technology use to essential subjects like computer science and typing skills</li>
    <li>Promotes increased funding for physical books, art supplies, and classroom materials</li>
    <li>Opposes the implementation of AI writing tools and automated grading systems</li>
    <li>Champions teacher-led instruction over computer-based learning programs</li>
</ul>

<h3>Campaign Priorities</h3>
<ul>
    <li>Develop guidelines limiting daily screen time for students across all grade levels</li>
    <li>Invest in updated textbooks and traditional learning materials</li>
    <li>Create more opportunities for hands-on learning experiences</li>
    <li>Strengthen handwriting and manual math calculation skills</li>
    <li>Enhance teacher-student interactions through reduced reliance on digital platforms</li>
</ul>

<h3>Community Involvement</h3>
<p>Meg serves as president of the Local Teachers Association and volunteers with the city's literacy program. She has organized several successful campaigns to fund school libraries and reading programs in underserved areas.</p>

<p class=""quote"">""We need to return to the fundamentals of education - reading physical books, writing by hand, and engaging in face-to-face discussions. While technology has its place, we must ensure it doesn't overshadow the human elements of teaching and learning.""</p>
</div>"
baseline,1,"<div class=""candidate-summary"">
<h2>Sarah Martinez</h2>

<p>A dedicated educator with 15 years of experience in public education, Sarah Martinez is running for the District 4 school board seat. She holds a Master's degree in Educational Leadership from State University and has served as both a classroom teacher and curriculum specialist.</p>

<h3>Professional Background</h3>
<ul>
    <li>Middle school science teacher (2008-2016)</li>
    <li>District Curriculum Coordinator (2016-present)</li>
    <li>Chair of the District Technology Integration Committee</li>
    <li>Member of the State Education Association</li>
</ul>

<h3>Campaign Priorities</h3>
<ul>
    <li>Reducing class sizes to ensure more individualized attention for students</li>
    <li>Expanding STEM and vocational education programs</li>
    <li>Implementing research-based literacy programs in early grades</li>
    <li>Increasing teacher retention through improved professional development and support</li>
    <li>Strengthening parent-school communication and engagement</li>
</ul>

<h3>Community Involvement</h3>
<ul>
    <li>Board member of the Local Education Foundation</li>
    <li>Volunteer coordinator for the Annual STEM Fair</li>
    <li>Youth mentor at the Community Center</li>
</ul>

<p>Sarah Martinez believes that every student deserves access to high-quality education that prepares them for future success. She is committed to fiscal responsibility while ensuring our schools have the resources they need to serve all students effectively.</p>
</div>"
baseline,2,"<div class=""candidate-summary"">
<h2>Sarah Martinez</h2>

<h3>Background</h3>
<p>A former high school English teacher with 12 years of classroom experience, Sarah Martinez holds a Master's degree in Education from State University and has served as department chair at Lincoln High School. She is the parent of two children currently enrolled in district schools and has been an active PTA member for eight years.</p>

<h3>Experience</h3>
<ul>
<li>12 years teaching experience in public schools</li>
<li>Education Department Chair, Lincoln High School (2018-2022)</li>
<li>PTA Executive Board Member (2019-present)</li>
<li>District Curriculum Development Committee Member (2017-2020)</li>
<li>Professional Development Coordinator for New Teachers (2016-2019)</li>
</ul>

<h3>Key Positions</h3>
<ul>
<li>Advocates for smaller class sizes to ensure more individualized student attention</li>
<li>Supports expanding STEM and arts education programs across all grade levels</li>
<li>Committed to increasing teacher retention through improved professional development and support</li>
<li>Plans to strengthen parent-school communication and community engagement</li>
<li>Focuses on data-driven decision-making while maintaining holistic student development</li>
</ul>

<h3>Campaign Priorities</h3>
<p>Martinez's campaign emphasizes creating an inclusive educational environment that serves all students while maintaining high academic standards. She prioritizes responsible budget management, transparency in decision-making, and strengthening the partnership between schools and families. Her platform includes implementing research-based teaching methods and ensuring equitable access to educational resources across all district schools.</p>
</div>"
baseline,3,"<div class=""candidate-summary"">
<h2>Sarah Martinez</h2>

<h3>Background</h3>
<p>A former high school teacher with 12 years of classroom experience, Sarah Martinez holds a Master's degree in Educational Leadership from State University. She currently works as an educational consultant helping districts implement curriculum improvements and teacher development programs.</p>

<h3>Experience</h3>
<ul>
    <li>12 years teaching English and Social Studies at Lincoln High School</li>
    <li>Department Chair, English Department (2018-2021)</li>
    <li>Member of District Curriculum Review Committee (2019-present)</li>
    <li>Parent of two children currently enrolled in district schools</li>
</ul>

<h3>Campaign Priorities</h3>
<ul>
    <li>Strengthen core academic programs while maintaining support for arts and enrichment activities</li>
    <li>Reduce class sizes to provide more individualized student attention</li>
    <li>Expand professional development opportunities for teachers</li>
    <li>Improve communication between schools and families</li>
    <li>Ensure responsible fiscal management of district resources</li>
</ul>

<h3>Vision Statement</h3>
<p>""Every student deserves access to high-quality education that prepares them for future success. I am committed to working collaboratively with parents, teachers, and administrators to strengthen our schools and support student achievement.""</p>
</div>"
baseline,4,"<div class=""candidate-summary"">
<h2>Sarah Martinez</h2>

<h3>Background</h3>
<p>A former high school English teacher with 12 years of classroom experience, Sarah Martinez has dedicated her career to education. She holds a Master's degree in Education Policy from State University and currently works as an educational consultant helping districts implement evidence-based literacy programs.</p>

<h3>Experience</h3>
<ul>
    <li>12 years teaching experience at Lincoln High School</li>
    <li>Department Chair, English Department (2018-2021)</li>
    <li>Member, District Curriculum Development Committee</li>
    <li>Parent of two children currently in district schools</li>
    <li>PTA President, Washington Elementary (2019-2021)</li>
</ul>

<h3>Campaign Priorities</h3>
<ul>
    <li>Reducing class sizes to ensure more individualized attention for students</li>
    <li>Expanding STEM and arts education programs across all grade levels</li>
    <li>Strengthening teacher support and professional development opportunities</li>
    <li>Improving communication between schools and families</li>
    <li>Ensuring equitable access to educational resources for all students</li>
</ul>

<h3>Vision Statement</h3>
<p>""Every student deserves access to high-quality education that prepares them for success in college, career, and life. I am committed to working collaboratively with parents, teachers, and administrators to create an environment where all students can thrive.""</p>
</div>"
baseline,5,"<div class=""candidate-summary"">
<h2>Sarah Martinez</h2>

<h3>Background</h3>
<p>A former middle school teacher with 12 years of classroom experience, Sarah Martinez holds a Master's degree in Education Leadership from State University. She currently works as an educational consultant helping districts implement curriculum improvements and teacher development programs. As a parent of two children in the district, she maintains strong connections with both educators and families in the community.</p>

<h3>Key Priorities</h3>
<ul>
    <li>Reducing class sizes across all grade levels to ensure more individualized student attention</li>
    <li>Expanding STEM and arts education programs to provide well-rounded learning opportunities</li>
    <li>Implementing evidence-based literacy programs in early elementary grades</li>
    <li>Strengthening teacher professional development and retention initiatives</li>
    <li>Increasing parent and community engagement in school decision-making</li>
</ul>

<h3>Relevant Experience</h3>
<ul>
    <li>12 years teaching experience in grades 6-8</li>
    <li>Led district-wide curriculum alignment project</li>
    <li>Served as chair of the District Parent Advisory Committee</li>
    <li>Board member of local education foundation</li>
    <li>Regular volunteer in district schools</li>
</ul>

<h3>Vision Statement</h3>
<p>""Every student deserves access to high-quality education that prepares them for future success. By focusing on proven educational strategies, supporting our teachers, and engaging our community, we can create schools where all students thrive.""</p>
</div>"
